date,class,counts
2017-11-05T05:00:00Z,Akashiwo,83
2017-11-05T05:00:00Z,Asterionella glacialis,68
2017-11-05T05:00:00Z,Bacillaria,11
2017-11-05T05:00:00Z,bead,39096
2017-11-05T05:00:00Z,Cerataulina bergonii,107
2017-11-05T05:00:00Z,Ceratium,6
2017-11-05T05:00:00Z,Chrysochromulina lanceolata,356
2017-11-05T05:00:00Z,Ciliophora,805
2017-11-05T05:00:00Z,Corethron hystrix,59
2017-11-05T05:00:00Z,Cryptophyta,11685
2017-11-05T05:00:00Z,Cylindrotheca,1809
2017-11-05T05:00:00Z,detritus,321
2017-11-05T05:00:00Z,Dictyocha,143
2017-11-05T05:00:00Z,Dinobryon,77
2017-11-05T05:00:00Z,Dinophysis,35
2017-11-05T05:00:00Z,Ditylum brightwellii,11
2017-11-05T05:00:00Z,Eucampia,22
2017-11-05T05:00:00Z,Eucampia striata,56
2017-11-05T05:00:00Z,group chaetoceros curly,206
2017-11-05T05:00:00Z,group chaetoceros single cell,3519
2017-11-05T05:00:00Z,group chaetoceros straight,357
2017-11-05T05:00:00Z,group pennate,5395
2017-11-05T05:00:00Z,Guinardia blavyana var. blavyana,4
2017-11-05T05:00:00Z,Gyrodinium,14
2017-11-05T05:00:00Z,Helicopsis,2
2017-11-05T05:00:00Z,Heterocapsa rotundata,8798
2017-11-05T05:00:00Z,Laboea strobila,3
2017-11-05T05:00:00Z,Leptocylindrus,3164
2017-11-05T05:00:00Z,Licmophora,291
2017-11-05T05:00:00Z,Margalefidinium,6
2017-11-05T05:00:00Z,Mesodinium,143
2017-11-05T05:00:00Z,Odontella,2
2017-11-05T05:00:00Z,Odontella mobiliensis,1
2017-11-05T05:00:00Z,Paralia sulcata,35
2017-11-05T05:00:00Z,Pleurosigma,98
2017-11-05T05:00:00Z,pollen,29
2017-11-05T05:00:00Z,Polykrikos,2
2017-11-05T05:00:00Z,Prorocentrum,61
2017-11-05T05:00:00Z,Protoperidinium,13
2017-11-05T05:00:00Z,Protozoa,139654
2017-11-05T05:00:00Z,Pseudo-nitzschia,271
2017-11-05T05:00:00Z,Pyramimonas longicauda,3853
2017-11-05T05:00:00Z,Rhizosolenia,19
2017-11-05T05:00:00Z,Rhizosolenia delicatula,144
2017-11-05T05:00:00Z,Skeletonema,4464
2017-11-05T05:00:00Z,square unknown,78828
2017-11-05T05:00:00Z,Strobilidium,3
2017-11-05T05:00:00Z,Strombidium morphotype2,23
2017-11-05T05:00:00Z,Thalassionema,31
2017-11-05T05:00:00Z,Thalassiosira,13
2017-11-05T05:00:00Z,Tintinnina,1
2017-11-05T05:00:00Z,unclassified,136075
2017-11-05T05:00:00Z,unknown1,6
2017-11-05T05:00:00Z,unknown2,34454
2017-11-05T05:00:00Z,zooplankton,10
2017-11-12T05:00:00Z,Akashiwo,205
2017-11-12T05:00:00Z,Asterionella glacialis,202
2017-11-12T05:00:00Z,Bacillaria,38
2017-11-12T05:00:00Z,bad,1
2017-11-12T05:00:00Z,bead,68647
2017-11-12T05:00:00Z,bubble,2
2017-11-12T05:00:00Z,Cerataulina bergonii,416
2017-11-12T05:00:00Z,Ceratium,6
2017-11-12T05:00:00Z,Chrysochromulina lanceolata,262
2017-11-12T05:00:00Z,Ciliophora,2503
2017-11-12T05:00:00Z,Corethron hystrix,190
2017-11-12T05:00:00Z,Coscinodiscus,10
2017-11-12T05:00:00Z,Cryptophyta,25507
2017-11-12T05:00:00Z,Cylindrotheca,5420
2017-11-12T05:00:00Z,detritus,1210
2017-11-12T05:00:00Z,Dictyocha,487
2017-11-12T05:00:00Z,Dinobryon,272
2017-11-12T05:00:00Z,Dinophysis,105
2017-11-12T05:00:00Z,Ditylum brightwellii,44
2017-11-12T05:00:00Z,Eucampia,136
2017-11-12T05:00:00Z,Eucampia striata,228
2017-11-12T05:00:00Z,group chaetoceros curly,784
2017-11-12T05:00:00Z,group chaetoceros single cell,10408
2017-11-12T05:00:00Z,group chaetoceros straight,1443
2017-11-12T05:00:00Z,group pennate,18008
2017-11-12T05:00:00Z,Guinardia blavyana var. blavyana,13
2017-11-12T05:00:00Z,Gyrodinium,31
2017-11-12T05:00:00Z,Helicopsis,5
2017-11-12T05:00:00Z,Heterocapsa rotundata,13581
2017-11-12T05:00:00Z,Laboea strobila,5
2017-11-12T05:00:00Z,Leptocylindrus,8445
2017-11-12T05:00:00Z,Licmophora,547
2017-11-12T05:00:00Z,Margalefidinium,22
2017-11-12T05:00:00Z,Mesodinium,505
2017-11-12T05:00:00Z,Odontella,14
2017-11-12T05:00:00Z,Odontella mobiliensis,6
2017-11-12T05:00:00Z,Paralia sulcata,146
2017-11-12T05:00:00Z,Pleurosigma,324
2017-11-12T05:00:00Z,pollen,70
2017-11-12T05:00:00Z,Polykrikos,4
2017-11-12T05:00:00Z,Prorocentrum,179
2017-11-12T05:00:00Z,Protoperidinium,34
2017-11-12T05:00:00Z,Protozoa,282494
2017-11-12T05:00:00Z,Pseudo-nitzschia,1399
2017-11-12T05:00:00Z,Pyramimonas longicauda,8902
2017-11-12T05:00:00Z,Rhizosolenia,106
2017-11-12T05:00:00Z,Rhizosolenia delicatula,545
2017-11-12T05:00:00Z,Skeletonema,9722
2017-11-12T05:00:00Z,square unknown,149847
2017-11-12T05:00:00Z,Strobilidium,7
2017-11-12T05:00:00Z,Strombidium morphotype2,49
2017-11-12T05:00:00Z,Thalassionema,157
2017-11-12T05:00:00Z,Thalassiosira,61
2017-11-12T05:00:00Z,Tintinnina,6
2017-11-12T05:00:00Z,unclassified,304633
2017-11-12T05:00:00Z,unknown1,18
2017-11-12T05:00:00Z,unknown2,78953
2017-11-12T05:00:00Z,zooplankton,18
2017-11-19T05:00:00Z,Akashiwo,30
2017-11-19T05:00:00Z,Asterionella glacialis,412
2017-11-19T05:00:00Z,Bacillaria,72
2017-11-19T05:00:00Z,bead,42506
2017-11-19T05:00:00Z,bubble,1
2017-11-19T05:00:00Z,Cerataulina bergonii,520
2017-11-19T05:00:00Z,Ceratium,6
2017-11-19T05:00:00Z,Chrysochromulina lanceolata,16
2017-11-19T05:00:00Z,Ciliophora,2678
2017-11-19T05:00:00Z,Corethron hystrix,272
2017-11-19T05:00:00Z,Coscinodiscus,23
2017-11-19T05:00:00Z,Cryptophyta,4085
2017-11-19T05:00:00Z,Cylindrotheca,7189
2017-11-19T05:00:00Z,detritus,1585
2017-11-19T05:00:00Z,Dictyocha,563
2017-11-19T05:00:00Z,Dinobryon,438
2017-11-19T05:00:00Z,Dinophysis,130
2017-11-19T05:00:00Z,Ditylum brightwellii,82
2017-11-19T05:00:00Z,Eucampia,182
2017-11-19T05:00:00Z,Eucampia striata,378
2017-11-19T05:00:00Z,group chaetoceros curly,868
2017-11-19T05:00:00Z,group chaetoceros single cell,11640
2017-11-19T05:00:00Z,group chaetoceros straight,2711
2017-11-19T05:00:00Z,group pennate,13889
2017-11-19T05:00:00Z,Guinardia blavyana var. blavyana,26
2017-11-19T05:00:00Z,Gyrodinium,13
2017-11-19T05:00:00Z,Helicopsis,8
2017-11-19T05:00:00Z,Heterocapsa rotundata,4263
2017-11-19T05:00:00Z,Laboea strobila,4
2017-11-19T05:00:00Z,Leptocylindrus,11575
2017-11-19T05:00:00Z,Licmophora,351
2017-11-19T05:00:00Z,Margalefidinium,22
2017-11-19T05:00:00Z,Mesodinium,479
2017-11-19T05:00:00Z,Odontella,13
2017-11-19T05:00:00Z,Odontella mobiliensis,17
2017-11-19T05:00:00Z,Paralia sulcata,270
2017-11-19T05:00:00Z,Pleurosigma,378
2017-11-19T05:00:00Z,pollen,20
2017-11-19T05:00:00Z,Polykrikos,11
2017-11-19T05:00:00Z,Prorocentrum,279
2017-11-19T05:00:00Z,Protoperidinium,31
2017-11-19T05:00:00Z,Protozoa,87126
2017-11-19T05:00:00Z,Pseudo-nitzschia,2265
2017-11-19T05:00:00Z,Pyramimonas longicauda,6446
2017-11-19T05:00:00Z,Rhizosolenia,92
2017-11-19T05:00:00Z,Rhizosolenia delicatula,567
2017-11-19T05:00:00Z,Skeletonema,9484
2017-11-19T05:00:00Z,square unknown,96570
2017-11-19T05:00:00Z,Strobilidium,2
2017-11-19T05:00:00Z,Strombidium morphotype2,35
2017-11-19T05:00:00Z,Thalassionema,235
2017-11-19T05:00:00Z,Thalassiosira,61
2017-11-19T05:00:00Z,Tintinnina,8
2017-11-19T05:00:00Z,unclassified,239832
2017-11-19T05:00:00Z,unknown1,22
2017-11-19T05:00:00Z,unknown2,60254
2017-11-19T05:00:00Z,zooplankton,44
2017-11-26T05:00:00Z,Akashiwo,39
2017-11-26T05:00:00Z,Asterionella glacialis,701
2017-11-26T05:00:00Z,Bacillaria,60
2017-11-26T05:00:00Z,bead,71510
2017-11-26T05:00:00Z,Cerataulina bergonii,1203
2017-11-26T05:00:00Z,Ceratium,2
2017-11-26T05:00:00Z,Chrysochromulina lanceolata,7
2017-11-26T05:00:00Z,Ciliophora,1842
2017-11-26T05:00:00Z,Corethron hystrix,202
2017-11-26T05:00:00Z,Coscinodiscus,28
2017-11-26T05:00:00Z,Cryptophyta,24469
2017-11-26T05:00:00Z,Cylindrotheca,9705
2017-11-26T05:00:00Z,detritus,843
2017-11-26T05:00:00Z,Dictyocha,384
2017-11-26T05:00:00Z,Dinobryon,394
2017-11-26T05:00:00Z,Dinophysis,103
2017-11-26T05:00:00Z,Ditylum brightwellii,112
2017-11-26T05:00:00Z,Eucampia,127
2017-11-26T05:00:00Z,Eucampia striata,264
2017-11-26T05:00:00Z,group chaetoceros curly,2483
2017-11-26T05:00:00Z,group chaetoceros single cell,24632
2017-11-26T05:00:00Z,group chaetoceros straight,3609
2017-11-26T05:00:00Z,group pennate,19801
2017-11-26T05:00:00Z,Guinardia blavyana var. blavyana,732
2017-11-26T05:00:00Z,Gyrodinium,26
2017-11-26T05:00:00Z,Helicopsis,14
2017-11-26T05:00:00Z,Heterocapsa rotundata,13213
2017-11-26T05:00:00Z,Leptocylindrus,31632
2017-11-26T05:00:00Z,Licmophora,570
2017-11-26T05:00:00Z,Margalefidinium,22
2017-11-26T05:00:00Z,Mesodinium,475
2017-11-26T05:00:00Z,Odontella,12
2017-11-26T05:00:00Z,Odontella mobiliensis,11
2017-11-26T05:00:00Z,Paralia sulcata,194
2017-11-26T05:00:00Z,Pleurosigma,226
2017-11-26T05:00:00Z,pollen,15
2017-11-26T05:00:00Z,Polykrikos,9
2017-11-26T05:00:00Z,Prorocentrum,522
2017-11-26T05:00:00Z,Protoperidinium,37
2017-11-26T05:00:00Z,Protozoa,166782
2017-11-26T05:00:00Z,Pseudo-nitzschia,1887
2017-11-26T05:00:00Z,Pyramimonas longicauda,7094
2017-11-26T05:00:00Z,Rhizosolenia,65
2017-11-26T05:00:00Z,Rhizosolenia delicatula,1618
2017-11-26T05:00:00Z,Skeletonema,80424
2017-11-26T05:00:00Z,square unknown,196253
2017-11-26T05:00:00Z,Strobilidium,3
2017-11-26T05:00:00Z,Strombidium morphotype2,40
2017-11-26T05:00:00Z,Thalassionema,378
2017-11-26T05:00:00Z,Thalassiosira,187
2017-11-26T05:00:00Z,Tintinnina,7
2017-11-26T05:00:00Z,unclassified,385618
2017-11-26T05:00:00Z,unknown1,13
2017-11-26T05:00:00Z,unknown2,135589
2017-11-26T05:00:00Z,zooplankton,14
2017-12-03T05:00:00Z,Akashiwo,42
2017-12-03T05:00:00Z,Asterionella glacialis,567
2017-12-03T05:00:00Z,Bacillaria,69
2017-12-03T05:00:00Z,bead,57377
2017-12-03T05:00:00Z,Cerataulina bergonii,599
2017-12-03T05:00:00Z,Chrysochromulina lanceolata,11
2017-12-03T05:00:00Z,Ciliophora,2143
2017-12-03T05:00:00Z,Corethron hystrix,140
2017-12-03T05:00:00Z,Coscinodiscus,19
2017-12-03T05:00:00Z,Cryptophyta,21797
2017-12-03T05:00:00Z,Cylindrotheca,8020
2017-12-03T05:00:00Z,detritus,1077
2017-12-03T05:00:00Z,Dictyocha,158
2017-12-03T05:00:00Z,Dinobryon,774
2017-12-03T05:00:00Z,Dinophysis,117
2017-12-03T05:00:00Z,Ditylum brightwellii,119
2017-12-03T05:00:00Z,Eucampia,144
2017-12-03T05:00:00Z,Eucampia striata,127
2017-12-03T05:00:00Z,group chaetoceros curly,1431
2017-12-03T05:00:00Z,group chaetoceros single cell,21524
2017-12-03T05:00:00Z,group chaetoceros straight,4171
2017-12-03T05:00:00Z,group pennate,18839
2017-12-03T05:00:00Z,Guinardia blavyana var. blavyana,311
2017-12-03T05:00:00Z,Gyrodinium,42
2017-12-03T05:00:00Z,Helicopsis,5
2017-12-03T05:00:00Z,Heterocapsa rotundata,9172
2017-12-03T05:00:00Z,Laboea strobila,4
2017-12-03T05:00:00Z,Leptocylindrus,30967
2017-12-03T05:00:00Z,Licmophora,495
2017-12-03T05:00:00Z,Margalefidinium,36
2017-12-03T05:00:00Z,Mesodinium,721
2017-12-03T05:00:00Z,Odontella,17
2017-12-03T05:00:00Z,Odontella mobiliensis,11
2017-12-03T05:00:00Z,Paralia sulcata,240
2017-12-03T05:00:00Z,Pleurosigma,213
2017-12-03T05:00:00Z,pollen,24
2017-12-03T05:00:00Z,Polykrikos,9
2017-12-03T05:00:00Z,Prorocentrum,490
2017-12-03T05:00:00Z,Protoperidinium,23
2017-12-03T05:00:00Z,Protozoa,252174
2017-12-03T05:00:00Z,Pseudo-nitzschia,1203
2017-12-03T05:00:00Z,Pyramimonas longicauda,6037
2017-12-03T05:00:00Z,Rhizosolenia,86
2017-12-03T05:00:00Z,Rhizosolenia delicatula,1124
2017-12-03T05:00:00Z,Skeletonema,194490
2017-12-03T05:00:00Z,square unknown,181502
2017-12-03T05:00:00Z,Strobilidium,10
2017-12-03T05:00:00Z,Strombidium morphotype2,65
2017-12-03T05:00:00Z,Thalassionema,233
2017-12-03T05:00:00Z,Thalassiosira,242
2017-12-03T05:00:00Z,Tintinnina,16
2017-12-03T05:00:00Z,unclassified,381849
2017-12-03T05:00:00Z,unknown1,7
2017-12-03T05:00:00Z,unknown2,84455
2017-12-03T05:00:00Z,zooplankton,34
2017-12-10T05:00:00Z,Akashiwo,54
2017-12-10T05:00:00Z,Asterionella glacialis,501
2017-12-10T05:00:00Z,Bacillaria,62
2017-12-10T05:00:00Z,bead,68499
2017-12-10T05:00:00Z,Cerataulina bergonii,269
2017-12-10T05:00:00Z,Ceratium,6
2017-12-10T05:00:00Z,Chrysochromulina lanceolata,6
2017-12-10T05:00:00Z,Ciliophora,1618
2017-12-10T05:00:00Z,Corethron hystrix,87
2017-12-10T05:00:00Z,Coscinodiscus,32
2017-12-10T05:00:00Z,Cryptophyta,42657
2017-12-10T05:00:00Z,Cylindrotheca,4962
2017-12-10T05:00:00Z,detritus,586
2017-12-10T05:00:00Z,Dictyocha,116
2017-12-10T05:00:00Z,Dinobryon,410
2017-12-10T05:00:00Z,Dinophysis,109
2017-12-10T05:00:00Z,Ditylum brightwellii,145
2017-12-10T05:00:00Z,Eucampia,102
2017-12-10T05:00:00Z,Eucampia striata,94
